age,height_cm,weight_kg,gender,activity_level,goal,bmi,calories,diet_type,workout_type
33,178,97,Female,Moderate,Muscle Gain,30.61,3022,High Protein,Moderate
45,183,96,Female,Moderate,Muscle Gain,28.67,2962,High Protein,Moderate
46,152,91,Female,Moderate,Maintain,39.39,2276,Balanced,Moderate
23,167,104,Female,Sedentary,Maintain,37.29,2169,Balanced,Moderate
26,150,60,Male,Sedentary,Maintain,26.67,1695,Balanced,Moderate
33,182,105,Female,Sedentary,Maintain,31.7,2233,Balanced,Moderate
35,153,99,Female,Sedentary,Fat Loss,42.29,1432,Low Carb,Intense
38,157,103,Female,Moderate,Muscle Gain,41.79,2873,High Protein,Moderate
27,162,78,Male,Moderate,Fat Loss,29.72,2076,Low Carb,Intense
41,184,104,Female,Sedentary,Fat Loss,30.72,1688,Low Carb,Intense
27,189,91,Male,Sedentary,Muscle Gain,25.48,2653,High Protein,Moderate
38,151,75,Female,Active,Maintain,32.89,2551,Balanced,Moderate
34,157,109,Male,Moderate,Fat Loss,44.22,2454,Low Carb,Intense
29,183,61,Male,Active,Fat Loss,18.21,2566,Low Carb,Moderate
34,168,53,Male,Active,Fat Loss,18.78,2188,Low Carb,Moderate
42,186,105,Female,Sedentary,Muscle Gain,30.35,2509,High Protein,Moderate
31,176,96,Female,Sedentary,Muscle Gain,30.99,2392,High Protein,Moderate
46,184,106,Female,Active,Muscle Gain,31.31,3756,High Protein,Moderate
27,169,76,Female,Active,Maintain,26.61,2888,Balanced,Moderate
47,173,45,Female,Sedentary,Maintain,15.04,1362,Balanced,Light
21,173,76,Female,Active,Muscle Gain,25.39,3292,High Protein,Moderate
40,187,81,Female,Active,Muscle Gain,23.16,3373,High Protein,Moderate
19,169,45,Male,Active,Muscle Gain,15.76,2990,High Protein,Light
27,169,108,Female,Moderate,Fat Loss,37.81,2352,Low Carb,Intense
23,153,57,Female,Active,Fat Loss,24.35,1875,Low Carb,Moderate
31,175,53,Female,Sedentary,Maintain,17.31,1569,Balanced,Light
26,178,45,Female,Sedentary,Maintain,14.2,1525,Balanced,Light
35,153,104,Female,Sedentary,Fat Loss,44.43,1492,Low Carb,Intense
26,182,56,Female,Active,Muscle Gain,16.91,2972,High Protein,Light
25,155,110,Female,Active,Maintain,45.79,3387,Balanced,Moderate
24,158,48,Female,Active,Maintain,19.23,2254,Balanced,Moderate
25,175,67,Male,Moderate,Muscle Gain,21.88,2847,High Protein,Moderate
24,168,89,Male,Active,Fat Loss,31.53,2967,Low Carb,Intense
48,154,58,Male,Sedentary,Muscle Gain,24.46,1869,High Protein,Moderate
34,181,96,Female,Active,Muscle Gain,29.3,3644,High Protein,Moderate
24,160,72,Male,Moderate,Maintain,28.12,2487,Balanced,Moderate
19,184,108,Female,Active,Maintain,31.9,3750,Balanced,Moderate
47,155,110,Female,Active,Fat Loss,45.79,2678,Low Carb,Intense
35,190,75,Female,Moderate,Maintain,20.78,2482,Balanced,Moderate
40,183,61,Male,Sedentary,Maintain,18.21,1870,Balanced,Moderate
34,158,65,Male,Active,Muscle Gain,26.04,3097,High Protein,Moderate
41,172,109,Female,Active,Fat Loss,36.84,2918,Low Carb,Intense
44,178,51,Female,Moderate,Fat Loss,16.1,1424,Low Carb,Light
29,170,110,Male,Moderate,Maintain,38.06,3134,Balanced,Moderate
48,178,99,Female,Active,Muscle Gain,31.25,3532,High Protein,Moderate
32,151,110,Female,Moderate,Fat Loss,48.24,2170,Low Carb,Intense
20,152,110,Male,Active,Maintain,47.61,3714,Balanced,Moderate
23,169,64,Female,Active,Maintain,22.41,2698,Balanced,Moderate
40,183,84,Male,Sedentary,Muscle Gain,25.08,2446,High Protein,Moderate
29,152,87,Female,Active,Maintain,37.66,2876,Balanced,Moderate
25,171,48,Female,Active,Muscle Gain,16.42,2699,High Protein,Light
21,161,69,Female,Active,Fat Loss,26.62,2217,Low Carb,Intense
45,165,64,Male,Active,Muscle Gain,23.51,3057,High Protein,Moderate
46,157,50,Male,Sedentary,Fat Loss,20.28,1007,Low Carb,Moderate
40,156,79,Female,Sedentary,Fat Loss,32.46,1184,Low Carb,Intense
47,183,87,Male,Active,Fat Loss,25.98,2889,Low Carb,Intense
18,168,73,Male,Moderate,Muscle Gain,25.86,2927,High Protein,Moderate
27,181,100,Female,Moderate,Maintain,30.52,2844,Balanced,Moderate
43,163,54,Female,Active,Maintain,20.32,2247,Balanced,Moderate
29,189,79,Female,Active,Muscle Gain,22.12,3463,High Protein,Moderate
40,177,75,Female,Sedentary,Maintain,23.94,1794,Balanced,Moderate
24,160,58,Male,Moderate,Fat Loss,22.66,1770,Low Carb,Moderate
18,185,65,Male,Sedentary,Muscle Gain,18.99,2365,High Protein,Moderate
21,157,45,Male,Active,Muscle Gain,18.26,2829,High Protein,Moderate
39,172,92,Male,Sedentary,Maintain,31.1,2166,Balanced,Moderate
46,162,52,Female,Moderate,Muscle Gain,19.81,2069,High Protein,Moderate
42,151,100,Male,Sedentary,Maintain,43.86,2086,Balanced,Moderate
18,179,45,Male,Sedentary,Muscle Gain,14.04,2080,High Protein,Light
49,160,54,Female,Moderate,Muscle Gain,21.09,2057,High Protein,Moderate
26,182,65,Male,Active,Muscle Gain,19.62,3458,High Protein,Moderate
37,176,48,Female,Sedentary,Fat Loss,15.5,980,Low Carb,Light
22,152,105,Male,Active,Maintain,45.45,3600,Balanced,Moderate
50,167,54,Male,Moderate,Muscle Gain,19.36,2375,High Protein,Moderate
24,165,100,Female,Active,Muscle Gain,36.73,3625,High Protein,Moderate
31,151,68,Male,Moderate,Fat Loss,29.82,1784,Low Carb,Intense
25,150,92,Female,Moderate,Muscle Gain,40.89,2735,High Protein,Moderate
37,155,79,Female,Moderate,Muscle Gain,32.88,2489,High Protein,Moderate
38,171,86,Female,Active,Fat Loss,29.41,2497,Low Carb,Intense
41,163,52,Male,Sedentary,Muscle Gain,19.57,1906,High Protein,Moderate
22,158,108,Male,Sedentary,Muscle Gain,43.26,2655,High Protein,Moderate
38,183,93,Male,Active,Maintain,27.77,3588,Balanced,Moderate
21,156,56,Male,Active,Muscle Gain,23.01,3026,High Protein,Moderate
19,175,56,Female,Moderate,Muscle Gain,18.29,2466,High Protein,Moderate
44,184,57,Female,Sedentary,Fat Loss,16.84,1106,Low Carb,Light
22,151,59,Male,Moderate,Muscle Gain,25.88,2514,High Protein,Moderate
22,154,63,Male,Sedentary,Muscle Gain,26.56,2085,High Protein,Moderate
46,163,47,Male,Active,Fat Loss,17.69,1901,Low Carb,Light
50,153,105,Female,Active,Fat Loss,44.85,2530,Low Carb,Intense
45,177,105,Female,Active,Fat Loss,33.52,2863,Low Carb,Intense
47,185,60,Male,Sedentary,Maintain,17.53,1831,Balanced,Light
46,178,109,Female,Moderate,Maintain,34.4,2807,Balanced,Moderate
32,179,49,Male,Sedentary,Muscle Gain,15.29,2044,High Protein,Light
18,166,53,Male,Active,Muscle Gain,19.23,3116,High Protein,Moderate
27,185,67,Male,Moderate,Muscle Gain,19.58,2929,High Protein,Moderate
23,158,66,Female,Moderate,Maintain,26.44,2125,Balanced,Moderate
28,173,102,Male,Sedentary,Maintain,34.08,2359,Balanced,Moderate
23,168,66,Female,Active,Muscle Gain,23.38,3024,High Protein,Moderate
44,170,100,Male,Active,Fat Loss,34.6,3010,Low Carb,Intense
50,179,80,Female,Active,Maintain,24.97,2864,Balanced,Moderate
29,184,56,Male,Active,Maintain,16.54,2983,Balanced,Light
26,170,51,Male,Sedentary,Maintain,17.65,1737,Balanced,Light
36,165,83,Male,Active,Muscle Gain,30.49,3503,High Protein,Moderate
20,186,45,Male,Moderate,Muscle Gain,13.01,2652,High Protein,Light
49,190,105,Male,Sedentary,Maintain,29.09,2397,Balanced,Moderate
43,181,64,Female,Active,Muscle Gain,19.54,2950,High Protein,Moderate
42,177,78,Female,Sedentary,Muscle Gain,24.9,2118,High Protein,Moderate
40,189,98,Male,Moderate,Muscle Gain,27.43,3347,High Protein,Moderate
24,176,83,Male,Active,Maintain,26.79,3448,Balanced,Moderate
45,154,105,Male,Sedentary,Fat Loss,44.27,1651,Low Carb,Intense
41,164,104,Female,Sedentary,Maintain,38.67,2038,Balanced,Moderate
41,177,52,Male,Sedentary,Muscle Gain,16.6,2011,High Protein,Light
37,181,51,Male,Sedentary,Muscle Gain,15.57,2053,High Protein,Light
48,154,69,Male,Sedentary,Muscle Gain,29.09,2001,High Protein,Moderate
42,164,106,Female,Active,Muscle Gain,39.41,3556,High Protein,Moderate
29,187,63,Female,Moderate,Maintain,18.02,2313,Balanced,Moderate
28,174,52,Male,Moderate,Fat Loss,17.18,1782,Low Carb,Light
35,170,50,Female,Active,Fat Loss,17.3,1830,Low Carb,Light
25,166,74,Female,Moderate,Fat Loss,26.85,1811,Low Carb,Intense
28,183,81,Male,Sedentary,Fat Loss,24.19,1682,Low Carb,Moderate
31,162,86,Female,Moderate,Muscle Gain,32.77,2712,High Protein,Moderate
40,167,88,Male,Sedentary,Muscle Gain,31.55,2374,High Protein,Moderate
29,153,100,Female,Active,Fat Loss,42.72,2635,Low Carb,Intense
24,181,95,Male,Sedentary,Muscle Gain,29.0,2659,High Protein,Moderate
35,179,96,Female,Sedentary,Muscle Gain,29.96,2391,High Protein,Moderate
30,185,86,Male,Active,Maintain,25.13,3555,Balanced,Moderate
50,150,110,Male,Sedentary,Fat Loss,48.89,1651,Low Carb,Intense
37,166,101,Female,Active,Fat Loss,36.65,2732,Low Carb,Intense
30,167,57,Female,Moderate,Fat Loss,20.44,1519,Low Carb,Moderate
48,151,106,Female,Moderate,Muscle Gain,46.49,2784,High Protein,Moderate
39,160,104,Male,Active,Maintain,40.62,3515,Balanced,Moderate
34,188,57,Female,Active,Muscle Gain,16.13,2986,High Protein,Light
46,169,74,Male,Sedentary,Muscle Gain,25.91,2185,High Protein,Moderate
33,175,80,Male,Moderate,Muscle Gain,26.12,2987,High Protein,Moderate
49,169,87,Female,Moderate,Fat Loss,30.46,1856,Low Carb,Intense
20,175,59,Female,Active,Muscle Gain,19.27,3003,High Protein,Moderate
37,164,108,Female,Sedentary,Fat Loss,40.15,1610,Low Carb,Intense
37,160,79,Female,Active,Fat Loss,30.86,2243,Low Carb,Intense
50,177,90,Female,Moderate,Muscle Gain,28.73,2772,High Protein,Moderate
18,167,79,Female,Active,Fat Loss,28.33,2507,Low Carb,Intense
24,187,99,Male,Active,Fat Loss,28.31,3383,Low Carb,Intense
22,150,87,Female,Active,Fat Loss,38.67,2419,Low Carb,Intense
24,162,66,Female,Moderate,Maintain,25.15,2156,Balanced,Moderate
45,160,54,Male,Moderate,Maintain,21.09,2046,Balanced,Moderate
24,185,73,Female,Active,Maintain,21.33,3049,Balanced,Moderate
20,154,105,Female,Moderate,Fat Loss,44.27,2214,Low Carb,Intense
38,188,54,Male,Active,Fat Loss,15.28,2407,Low Carb,Light
33,166,54,Female,Sedentary,Muscle Gain,19.6,1801,High Protein,Moderate
36,160,71,Male,Moderate,Maintain,27.73,2379,Balanced,Moderate
40,163,66,Male,Sedentary,Maintain,24.84,1780,Balanced,Moderate
25,158,92,Female,Active,Muscle Gain,36.85,3380,High Protein,Moderate
25,181,100,Male,Active,Muscle Gain,30.52,4121,High Protein,Moderate
42,182,96,Male,Active,Fat Loss,28.98,3095,Low Carb,Intense
46,157,84,Female,Moderate,Muscle Gain,34.08,2516,High Protein,Moderate
24,171,47,Male,Active,Fat Loss,16.07,2205,Low Carb,Light
25,166,68,Female,Active,Muscle Gain,24.68,3019,High Protein,Moderate
23,178,110,Male,Active,Muscle Gain,34.72,4294,High Protein,Moderate
45,171,108,Female,Moderate,Muscle Gain,36.93,3032,High Protein,Moderate
20,174,81,Female,Moderate,Muscle Gain,26.75,2836,High Protein,Moderate
43,160,47,Male,Sedentary,Muscle Gain,18.36,1812,High Protein,Moderate
50,169,82,Male,Moderate,Muscle Gain,28.71,2828,High Protein,Moderate
42,159,57,Female,Active,Maintain,22.55,2266,Balanced,Moderate
21,175,78,Female,Sedentary,Fat Loss,25.47,1429,Low Carb,Intense
20,176,89,Female,Active,Maintain,28.73,3285,Balanced,Moderate
35,160,85,Male,Active,Maintain,33.2,3192,Balanced,Moderate
27,167,70,Female,Active,Fat Loss,25.1,2250,Low Carb,Intense
42,186,46,Female,Moderate,Fat Loss,13.3,1439,Low Carb,Light
49,160,57,Male,Sedentary,Fat Loss,22.27,1096,Low Carb,Moderate
24,172,66,Female,Active,Muscle Gain,22.31,3062,High Protein,Moderate
42,182,80,Male,Moderate,Fat Loss,24.15,2185,Low Carb,Moderate
47,189,50,Male,Active,Maintain,14.0,2757,Balanced,Light
22,187,102,Female,Active,Maintain,29.17,3643,Balanced,Moderate
48,158,83,Male,Sedentary,Muscle Gain,33.25,2199,High Protein,Moderate
22,174,65,Male,Active,Maintain,21.47,3101,Balanced,Moderate
18,156,108,Male,Moderate,Maintain,44.38,3053,Balanced,Moderate
31,183,71,Male,Sedentary,Muscle Gain,21.2,2344,High Protein,Moderate
22,159,73,Female,Sedentary,Maintain,28.88,1743,Balanced,Moderate
25,183,105,Male,Sedentary,Muscle Gain,31.35,2788,High Protein,Moderate
32,161,91,Male,Sedentary,Fat Loss,35.11,1613,Low Carb,Intense
37,158,46,Female,Sedentary,Muscle Gain,18.43,1621,High Protein,Moderate
33,178,79,Female,Sedentary,Maintain,24.93,1891,Balanced,Moderate
28,173,88,Female,Sedentary,Maintain,29.4,1992,Balanced,Moderate
45,188,92,Male,Active,Maintain,26.03,3562,Balanced,Moderate
18,155,46,Female,Sedentary,Maintain,19.15,1413,Balanced,Moderate
23,157,92,Male,Moderate,Muscle Gain,37.32,3076,High Protein,Moderate
24,156,79,Female,Active,Fat Loss,32.46,2319,Low Carb,Intense
36,159,46,Male,Moderate,Fat Loss,18.2,1482,Low Carb,Moderate
20,162,63,Female,Sedentary,Fat Loss,24.01,1157,Low Carb,Moderate
33,157,110,Male,Sedentary,Maintain,44.63,2305,Balanced,Moderate
30,179,94,Male,Moderate,Maintain,29.34,2966,Balanced,Moderate
22,176,85,Male,Sedentary,Muscle Gain,27.44,2514,High Protein,Moderate
29,156,53,Male,Sedentary,Fat Loss,21.78,1138,Low Carb,Moderate
37,182,109,Female,Active,Muscle Gain,32.91,3874,High Protein,Moderate
47,169,60,Female,Moderate,Fat Loss,21.01,1453,Low Carb,Moderate
46,173,51,Male,Active,Maintain,17.04,2595,Balanced,Light
49,178,68,Female,Sedentary,Fat Loss,21.46,1163,Low Carb,Moderate
23,168,77,Female,Moderate,Fat Loss,27.28,1893,Low Carb,Intense
45,150,64,Female,Active,Fat Loss,28.44,1763,Low Carb,Intense
26,156,70,Male,Moderate,Muscle Gain,28.76,2702,High Protein,Moderate
44,185,81,Male,Moderate,Muscle Gain,23.67,3014,High Protein,Moderate
48,164,72,Male,Moderate,Maintain,26.77,2340,Balanced,Moderate
28,188,54,Male,Sedentary,Fat Loss,15.28,1396,Low Carb,Light
34,187,72,Female,Sedentary,Maintain,20.59,1869,Balanced,Moderate
47,156,51,Female,Sedentary,Muscle Gain,20.96,1606,High Protein,Moderate
21,168,106,Male,Sedentary,Muscle Gain,37.56,2712,High Protein,Moderate
47,166,85,Female,Sedentary,Fat Loss,30.85,1289,Low Carb,Intense
46,174,85,Female,Active,Maintain,28.08,2938,Balanced,Moderate
23,166,88,Female,Sedentary,Fat Loss,31.93,1469,Low Carb,Intense
18,183,51,Male,Moderate,Muscle Gain,15.23,2731,High Protein,Light
43,163,69,Female,Sedentary,Muscle Gain,25.97,1899,High Protein,Moderate
31,180,70,Male,Active,Muscle Gain,21.6,3482,High Protein,Moderate
46,169,58,Female,Moderate,Muscle Gain,20.31,2230,High Protein,Moderate
50,157,98,Female,Sedentary,Maintain,39.76,1860,Balanced,Moderate
18,168,55,Male,Active,Muscle Gain,19.49,3178,High Protein,Moderate
19,178,79,Female,Moderate,Muscle Gain,24.93,2852,High Protein,Moderate
30,151,101,Male,Moderate,Fat Loss,44.3,2303,Low Carb,Intense
48,171,89,Male,Active,Muscle Gain,30.44,3575,High Protein,Moderate
26,175,54,Male,Active,Muscle Gain,17.63,3166,High Protein,Light
28,152,48,Male,Moderate,Fat Loss,20.78,1507,Low Carb,Moderate
29,178,105,Male,Sedentary,Maintain,33.14,2427,Balanced,Moderate
39,172,104,Female,Sedentary,Fat Loss,35.15,1610,Low Carb,Intense
43,174,56,Female,Sedentary,Muscle Gain,18.5,1825,High Protein,Moderate
42,162,74,Male,Sedentary,Fat Loss,28.2,1357,Low Carb,Intense
46,185,59,Female,Sedentary,Fat Loss,17.24,1126,Low Carb,Light
48,154,50,Female,Sedentary,Maintain,21.08,1273,Balanced,Moderate
37,177,96,Female,Active,Maintain,30.64,3268,Balanced,Moderate
38,184,75,Female,Moderate,Maintain,22.15,2400,Balanced,Moderate
29,158,92,Female,Moderate,Maintain,36.85,2482,Balanced,Moderate
20,186,53,Female,Sedentary,Muscle Gain,15.32,2017,High Protein,Light
42,178,93,Female,Moderate,Muscle Gain,29.35,2890,High Protein,Moderate
48,166,93,Male,Moderate,Muscle Gain,33.75,2985,High Protein,Moderate
21,158,86,Male,Sedentary,Fat Loss,34.45,1597,Low Carb,Intense
34,184,71,Female,Active,Fat Loss,20.97,2405,Low Carb,Moderate
28,173,61,Female,Sedentary,Muscle Gain,20.38,1968,High Protein,Moderate
23,188,94,Female,Sedentary,Muscle Gain,26.6,2506,High Protein,Moderate
37,168,66,Female,Moderate,Muscle Gain,23.38,2414,High Protein,Moderate
48,167,92,Male,Sedentary,Maintain,32.99,2074,Balanced,Moderate
39,154,104,Female,Active,Fat Loss,43.85,2628,Low Carb,Intense
18,185,61,Male,Active,Maintain,17.82,3194,Balanced,Light
25,154,50,Female,Sedentary,Muscle Gain,21.08,1711,High Protein,Moderate
37,183,47,Male,Moderate,Fat Loss,14.03,1722,Low Carb,Light
42,170,102,Male,Moderate,Maintain,35.29,2910,Balanced,Moderate
25,155,77,Female,Active,Fat Loss,32.05,2260,Low Carb,Intense
39,179,49,Female,Active,Fat Loss,15.29,1880,Low Carb,Light
23,162,90,Male,Moderate,Muscle Gain,34.29,3093,High Protein,Moderate
22,186,69,Male,Sedentary,Fat Loss,19.94,1597,Low Carb,Moderate
38,178,46,Male,Active,Fat Loss,14.52,2136,Low Carb,Light
27,153,67,Female,Moderate,Maintain,28.62,2061,Balanced,Moderate
47,184,104,Female,Active,Fat Loss,30.72,2908,Low Carb,Intense
19,184,45,Female,Active,Muscle Gain,13.29,2853,High Protein,Light
24,175,96,Male,Sedentary,Muscle Gain,31.35,2626,High Protein,Moderate
28,163,69,Female,Active,Fat Loss,25.97,2174,Low Carb,Intense
44,187,57,Female,Active,Muscle Gain,16.3,2879,High Protein,Light
31,151,59,Male,Active,Fat Loss,25.88,2129,Low Carb,Intense
20,173,101,Male,Moderate,Muscle Gain,33.75,3394,High Protein,Moderate
49,179,109,Male,Moderate,Muscle Gain,34.02,3351,High Protein,Moderate
27,163,45,Male,Sedentary,Maintain,16.94,1606,Balanced,Light
18,174,45,Female,Moderate,Maintain,14.86,1994,Balanced,Light
28,162,108,Female,Active,Muscle Gain,41.15,3703,High Protein,Moderate
29,183,46,Female,Sedentary,Fat Loss,13.74,1057,Low Carb,Light
38,169,104,Male,Sedentary,Muscle Gain,36.41,2593,High Protein,Moderate
27,181,60,Male,Moderate,Maintain,18.31,2481,Balanced,Moderate
36,184,83,Male,Active,Maintain,24.52,3429,Balanced,Moderate
39,152,99,Male,Sedentary,Muscle Gain,42.85,2400,High Protein,Moderate
24,186,46,Male,Sedentary,Fat Loss,13.3,1309,Low Carb,Light
43,186,71,Female,Active,Fat Loss,20.52,2343,Low Carb,Moderate
36,160,82,Female,Sedentary,Fat Loss,32.03,1274,Low Carb,Intense
19,183,78,Male,Sedentary,Maintain,23.29,2200,Balanced,Moderate
22,164,97,Female,Active,Muscle Gain,36.06,3575,High Protein,Moderate
47,151,73,Female,Active,Muscle Gain,32.02,2727,High Protein,Moderate
28,163,71,Female,Sedentary,Muscle Gain,26.72,2013,High Protein,Moderate
21,171,94,Female,Sedentary,Muscle Gain,32.15,2391,High Protein,Moderate
35,178,68,Male,Moderate,Fat Loss,21.46,2014,Low Carb,Moderate
19,173,71,Female,Active,Maintain,23.72,2916,Balanced,Moderate
40,151,85,Male,Moderate,Fat Loss,37.28,1978,Low Carb,Intense
46,176,58,Male,Active,Muscle Gain,18.72,3064,High Protein,Moderate
31,159,94,Male,Active,Fat Loss,37.18,2889,Low Carb,Intense
48,166,97,Male,Active,Maintain,35.2,3367,Balanced,Moderate
36,161,65,Male,Sedentary,Fat Loss,25.08,1277,Low Carb,Intense
42,180,68,Female,Moderate,Muscle Gain,20.99,2522,High Protein,Moderate
22,165,85,Male,Active,Fat Loss,31.22,2874,Low Carb,Intense
35,162,46,Male,Moderate,Muscle Gain,17.53,2318,High Protein,Light
30,186,59,Male,Sedentary,Fat Loss,17.05,1429,Low Carb,Light
36,188,92,Female,Sedentary,Fat Loss,26.03,1604,Low Carb,Intense
21,189,67,Female,Sedentary,Fat Loss,18.76,1402,Low Carb,Moderate
22,176,75,Female,Sedentary,Muscle Gain,24.21,2194,High Protein,Moderate
39,190,106,Female,Active,Fat Loss,29.36,3093,Low Carb,Intense
26,167,97,Female,Active,Maintain,34.78,3273,Balanced,Moderate
25,152,58,Female,Active,Muscle Gain,25.1,2663,High Protein,Moderate
32,159,89,Female,Moderate,Maintain,35.2,2422,Balanced,Moderate
20,154,73,Female,Active,Muscle Gain,30.78,3019,High Protein,Moderate
21,184,82,Female,Sedentary,Fat Loss,24.22,1544,Low Carb,Moderate
34,186,95,Female,Sedentary,Fat Loss,27.46,1637,Low Carb,Intense
24,180,62,Male,Active,Muscle Gain,19.14,3397,High Protein,Moderate
28,168,75,Female,Sedentary,Fat Loss,26.57,1298,Low Carb,Intense
46,163,81,Female,Sedentary,Maintain,30.49,1725,Balanced,Moderate
40,179,86,Male,Moderate,Fat Loss,26.84,2264,Low Carb,Intense
47,151,64,Female,Active,Maintain,28.07,2256,Balanced,Moderate
20,187,97,Female,Active,Fat Loss,27.74,3067,Low Carb,Intense
27,177,46,Female,Moderate,Muscle Gain,14.68,2268,High Protein,Light
41,170,97,Female,Active,Fat Loss,33.56,2666,Low Carb,Intense
25,164,99,Female,Active,Muscle Gain,36.81,3585,High Protein,Moderate
25,170,46,Female,Sedentary,Fat Loss,15.92,983,Low Carb,Light
24,182,47,Male,Active,Muscle Gain,14.19,3135,High Protein,Light
34,189,103,Female,Active,Maintain,28.83,3572,Balanced,Moderate
31,170,49,Male,Sedentary,Muscle Gain,16.96,1983,High Protein,Light
25,162,104,Male,Moderate,Maintain,39.63,2995,Balanced,Moderate
32,150,96,Male,Active,Fat Loss,42.67,2810,Low Carb,Intense
36,183,53,Male,Sedentary,Maintain,15.83,1798,Balanced,Light
49,182,101,Male,Sedentary,Fat Loss,30.49,1789,Low Carb,Intense
43,184,46,Female,Moderate,Maintain,13.59,1912,Balanced,Light
28,160,57,Male,Moderate,Maintain,22.27,2224,Balanced,Moderate
27,184,54,Male,Moderate,Fat Loss,15.95,1918,Low Carb,Light
38,173,56,Female,Active,Muscle Gain,18.71,2751,High Protein,Moderate
43,152,93,Male,Active,Fat Loss,40.25,2673,Low Carb,Intense
33,158,86,Female,Active,Fat Loss,34.45,2390,Low Carb,Intense
46,150,62,Male,Sedentary,Fat Loss,27.56,1099,Low Carb,Intense
43,189,106,Male,Active,Fat Loss,29.67,3359,Low Carb,Intense
31,190,83,Male,Moderate,Fat Loss,22.99,2394,Low Carb,Moderate
32,178,55,Male,Active,Maintain,17.36,2864,Balanced,Light
42,179,86,Female,Sedentary,Maintain,26.84,1929,Balanced,Moderate
46,172,74,Male,Moderate,Muscle Gain,25.01,2764,High Protein,Moderate
